,country,total_prefix_count,ipv4_prefix_count,ipv6_prefix_count
0,AN,,,
1,AR,12565.0,11142.0,1423.0
2,AW,119.0,118.0,1.0
3,BO,1058.0,984.0,74.0
4,BQ,49.0,46.0,3.0
5,BR,83334.0,62809.0,20525.0
6,BZ,454.0,375.0,79.0
7,CL,5634.0,4459.0,1175.0
8,CO,9872.0,8858.0,1014.0
9,CR,4193.0,4037.0,156.0
10,CU,57.0,54.0,3.0
11,CW,263.0,233.0,30.0
12,DO,931.0,801.0,130.0
13,EC,4459.0,2981.0,1478.0
14,FK,,10.0,
15,GF,21.0,19.0,2.0
16,GS,,,
17,GT,1141.0,801.0,340.0
18,GY,119.0,88.0,31.0
19,HN,857.0,764.0,93.0
20,HT,115.0,113.0,2.0
21,MX,29656.0,22659.0,6997.0
22,NI,465.0,386.0,79.0
23,PA,1673.0,1502.0,171.0
24,PE,3070.0,2664.0,406.0
25,PY,879.0,714.0,165.0
26,SR,451.0,424.0,27.0
27,SV,1112.0,1075.0,37.0
28,SX,61.0,56.0,5.0
29,TT,480.0,416.0,64.0
30,UY,877.0,822.0,55.0
31,VE,2077.0,1998.0,79.0
