source_organization.country_code,recipient_organization.country_code,start_address,cant_ips
AF,GT,1,1024
AR,AR,15,28672
AR,AW,7,57344
AR,BO,1,1024
AR,BR,2,5120
AR,BZ,5,7168
AR,CA,2,2304
AR,CL,5,15104
AR,CO,1,8192
AR,DO,2,12288
AR,ES,1,1024
AR,GB,1,2048
AR,GT,1,8192
AR,IE,1,2048
AR,MX,3,36864
AR,NL,2,8448
AR,PR,1,512
AR,SG,1,16384
AR,TR,1,512
AR,TT,1,4096
AR,US,6,14848
AT,BR,2,1024
AW,AW,1,4096
BR,BO,2,16384
BR,BR,124,267008
BR,CL,2,1024
BR,CO,2,8448
BR,CR,3,12544
BR,DO,1,512
BR,ES,2,2048
BR,FR,8,196608
BR,PY,1,512
BR,TM,1,256
BR,US,2,8192
BZ,AE,1,512
BZ,BR,1,8192
BZ,CA,1,1024
BZ,CO,2,3072
BZ,EE,1,4096
BZ,ES,2,6144
BZ,GT,1,4096
BZ,MX,1,1024
BZ,US,3,4096
CA,BR,1,1024
CA,CO,1,256
CA,CR,1,256
CL,AE,4,294912
CL,CL,6,9728
CL,MX,4,4096
CL,NL,1,1024
CL,US,1,8192
CO,AR,1,4096
CO,MX,1,4096
CW,AR,1,2048
CW,CW,3,32768
CW,SX,2,8192
DO,DO,2,3072
DO,EC,3,6144
DO,MX,1,8192
EC,EC,10,36352
EC,MX,2,1024
EC,US,1,2048
ES,CO,1,1024
GB,BR,1,2048
HN,BO,1,1024
HN,CR,1,1024
HN,DE,2,2048
HN,DM,1,1024
HN,ES,3,3072
HN,GT,3,3072
HN,HN,9,9216
HN,PE,1,1024
HN,RO,2,2048
HN,SV,1,1024
HN,US,5,5120
LB,BR,1,512
MX,CO,1,4096
MX,MX,9,29952
NI,NI,1,1024
NZ,BR,1,512
PA,AR,1,32768
PA,BR,1,1024
PA,CO,9,39936
PA,EC,1,2048
PA,GT,1,256
PA,GY,1,8192
PA,MX,3,5120
PA,TT,1,8192
PA,US,1,8192
PE,CO,1,1024
PE,PE,16,16384
TR,BR,1,256
UK,BR,1,1024
US,BR,10,12032
US,CL,3,12544
US,CR,1,256
US,MX,1,256
UY,AR,1,256
VE,ES,1,2048
VE,RU,1,65536
